Model,Origin,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model_Year
chevrolet chevelle malibu           ,USA    ,18.0,8,307.0,130.0,3504,12.0,70
buick skylark 320                   ,USA    ,15.0,8,350.0,165.0,3693,11.5,70
plymouth satellite                  ,USA    ,18.0,8,318.0,150.0,3436,11.0,70
amc rebel sst                       ,USA    ,16.0,8,304.0,150.0,3433,12.0,70
ford torino                         ,USA    ,17.0,8,302.0,140.0,3449,10.5,70
ford galaxie 500                    ,USA    ,15.0,8,429.0,198.0,4341,10.0,70
chevrolet impala                    ,USA    ,14.0,8,454.0,220.0,4354,9.0,70
plymouth fury iii                   ,USA    ,14.0,8,440.0,215.0,4312,8.5,70
pontiac catalina                    ,USA    ,14.0,8,455.0,225.0,4425,10.0,70
amc ambassador dpl                  ,USA    ,15.0,8,390.0,190.0,3850,8.5,70
citroen ds-21 pallas                ,France ,,4,133.0,115.0,3090,17.5,70
chevrolet chevelle concours (sw)    ,USA    ,,8,350.0,165.0,4142,11.5,70
ford torino (sw)                    ,USA    ,,8,351.0,153.0,4034,11.0,70
plymouth satellite (sw)             ,USA    ,,8,383.0,175.0,4166,10.5,70
amc rebel sst (sw)                  ,USA    ,,8,360.0,175.0,3850,11.0,70
dodge challenger se                 ,USA    ,15.0,8,383.0,170.0,3563,10.0,70
plymouth 'cuda 340                  ,USA    ,14.0,8,340.0,160.0,3609,8.0,70
ford mustang boss 302               ,USA    ,,8,302.0,140.0,3353,8.0,70
chevrolet monte carlo               ,USA    ,15.0,8,400.0,150.0,3761,9.5,70
buick estate wagon (sw)             ,USA    ,14.0,8,455.0,225.0,3086,10.0,70
toyota corona mark ii               ,Japan  ,24.0,4,113.0,95.0,2372,15.0,70
plymouth duster                     ,USA    ,22.0,6,198.0,95.0,2833,15.5,70
amc hornet                          ,USA    ,18.0,6,199.0,97.0,2774,15.5,70
ford maverick                       ,USA    ,21.0,6,200.0,85.0,2587,16.0,70
datsun pl510                        ,Japan  ,27.0,4,97.0,88.0,2130,14.5,70
volkswagen 1131 deluxe sedan        ,Germany,26.0,4,97.0,46.0,1835,20.5,70
peugeot 504                         ,France ,25.0,4,110.0,87.0,2672,17.5,70
audi 100 ls                         ,Germany,24.0,4,107.0,90.0,2430,14.5,70
saab 99e                            ,Sweden ,25.0,4,104.0,95.0,2375,17.5,70
bmw 2002                            ,Germany,26.0,4,121.0,113.0,2234,12.5,70
amc gremlin                         ,USA    ,21.0,6,199.0,90.0,2648,15.0,70
ford f250                           ,USA    ,10.0,8,360.0,215.0,4615,14.0,70
chevrolet c20                       ,USA    ,10.0,8,307.0,200.0,4376,15.0,70
dodge d200                          ,USA    ,11.0,8,318.0,210.0,4382,13.5,70
ih 1200d                            ,USA    ,9.0,8,304.0,193.0,4732,18.5,70
datsun pl510                        ,Japan  ,27.0,4,97.0,88.0,2130,14.5,71
chevrolet vega 2300                 ,USA    ,28.0,4,140.0,90.0,2264,15.5,71
toyota corona                       ,Japan  ,25.0,4,113.0,95.0,2228,14.0,71
ford pinto                          ,USA    ,25.0,4,98.0,,2046,19.0,71
volkswagen super beetle 117         ,Germany,,4,97.0,48.0,1978,20.0,71
amc gremlin                         ,USA    ,19.0,6,232.0,100.0,2634,13.0,71
plymouth satellite custom           ,USA    ,16.0,6,225.0,105.0,3439,15.5,71
chevrolet chevelle malibu           ,USA    ,17.0,6,250.0,100.0,3329,15.5,71
ford torino 500                     ,USA    ,19.0,6,250.0,88.0,3302,15.5,71
amc matador                         ,USA    ,18.0,6,232.0,100.0,3288,15.5,71
chevrolet impala                    ,USA    ,14.0,8,350.0,165.0,4209,12.0,71
pontiac catalina brougham           ,USA    ,14.0,8,400.0,175.0,4464,11.5,71
ford galaxie 500                    ,USA    ,14.0,8,351.0,153.0,4154,13.5,71
plymouth fury iii                   ,USA    ,14.0,8,318.0,150.0,4096,13.0,71
dodge monaco (sw)                   ,USA    ,12.0,8,383.0,180.0,4955,11.5,71
ford country squire (sw)            ,USA    ,13.0,8,400.0,170.0,4746,12.0,71
pontiac safari (sw)                 ,USA    ,13.0,8,400.0,175.0,5140,12.0,71
amc hornet sportabout (sw)          ,USA    ,18.0,6,258.0,110.0,2962,13.5,71
